"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"16","4514349","3",243.471239664797,1237806.66666667,"1","11","5","6",8,30,"1","2","1","0","1","53","3","2",54,"1","0","0","1",1232070.04166667,18.0863156444937,900,1428435.01950168,-190628.352835006,1428435.01950169,17.8964289448435,"0",14.0288515541726,1958262.58044395,0,0.168842740575915,-0.422051379011422,11,13,14,12,144,0
"17","4514350","1",254.687742271476,6e+05,"1","2","6","7",72,50,"0","2","0","1","1","45","1","2",48,"4","1","1","0",774903.333333333,16.9210564734319,2500,1877915.30756226,-1277915.30756226,1877915.30756228,18.0815931231535,"1",13.3046849341983,1654937.15034586,1,-0.526822116183753,0.415025379209922,15,19,30,26,676,0
"18","4514350","3",254.687742271476,949806.666666667,"1","2","6","7",24,28,"1","2","1","0","1","39","5","2",48,"1","0","0","0",774903.333333333,17.6567540549873,784,1352333.13507881,-402526.468412144,1352333.13507882,17.8306010220135,"0",13.7640137340941,1738363.24503545,0,-0.391440840255892,-0.492447638194314,15,19,8,4,16,0
"19","4514351","1",241.981809536919,1500000,"1","8","4","5",120,54,"0","2","0","1","1","79","2","2",66,"4","1","1","0",1500000,18.4004244125722,2916,1899839.3165559,-399839.316555896,1899839.31655591,18.0154008569994,"1",14.2209756660724,1685584.14092843,1,0.825840751707995,0.528505890329812,10,9,39,40,1600,0
"20","4514352","3",258.629844712917,310000,"1","11","5","6",36,36,"1","2","0","1","1","37","2","2",16,"1","0","1","1",310000,15.883772647891,1296,1622754.64846103,-1312754.64846103,1622754.64846104,18.0423001624256,"0",12.6443275764613,849724.535788068,0,-0.814214398046914,-0.50487145955352,11,13,20,18,324,0
"21","4514353","1",201.182391770539,60000,"1","8","4","5",120,53,"0","2","0","1","1","56","1","2",40,"4","1","1","0",60000,13.4052106287262,2809,1896482.44082682,-1836482.44082682,1896482.44082683,18.0351747079697,"1",11.0020998412042,1212705.65013923,1,-2.40336896743877,0.525175055835046,10,9,38,39,1521,0
"22","4514354","2",200.904627094488,1591500,"1","3","6","7",24,33,"0","2","1","0","1","39","3","2",48,"1","0","0","0",1193691.83333333,18.4976556069742,1089,1531967.21353934,59532.7864606648,1531967.21353935,17.9790419069298,"1",14.2801875257043,1439992.38180531,1,0.0466328262526661,0.484301946598739,15,19,13,9,81,0
"23","4514354","1",200.904627094488,795883.666666667,"1","11","5","6",96,38,"1","2","1","0","1","37","5","2",48,"1","0","0","1",1193691.83333333,17.3721753043765,1444,1676199.1833444,-880315.516677731,1676199.18334441,18.0737197179836,"0",13.5872083067423,1304587.48843098,0,-0.461596644508901,-0.427487553236609,11,13,22,20,400,0
"24","4514357","2",243.471239664797,70000,"1","11","5","6",100,51,"1","2","0","1","1","93","1","2",48,"4","1","1","1",576666.666666665,13.6318874717551,2601,1885520.43633,-1815520.43633,1885520.43633001,18.0682708410467,"0",11.1562505210315,2096073.47360207,0,-2.38595283085807,-0.490923065781294,11,13,35,33,1089,0
"25","4514357","1",243.471239664797,1083333.33333333,"1","11","5","6",72,51,"0","2","1","0","1","55","4","2",45,"1","0","0","1",576666.666666665,17.869613620062,2601,1885520.43633,-802187.10299667,1885520.43633001,18.0682708410467,"1",13.8955532656378,1489681.50465721,1,-0.124910606354214,0.569201462731702,11,13,35,33,1089,0
"26","4514359","1",144.946604279989,3633333.33333333,"1","3","6","7",24,43,"1","2","1","0","1","21","5","2",48,"1","0","0","0",3633333.33333333,19.8742339087007,1849,1785029.044494,1848304.28883933,1785029.04449401,18.1146344551748,"0",15.1056610585313,1415667.3270869,0,0.800538454416211,-0.536174152718994,15,19,23,19,361,0
"27","4514360","2",254.121161167727,1300000,"1","11","5","6",204,47,"1","2","1","0","1","98","1","2",70,"4","1","1","1",1479903.33333333,18.1662655970313,2209,1846603.41518175,-546603.415181747,1846603.41518176,18.1086568317468,"0",14.0778748224318,1698557.49650444,0,-0.106760883485008,-0.404803054039244,11,13,31,29,841,0
"28","4514360","1",254.121161167727,1659806.66666667,"1","11","5","6",48,41,"0","2","1","0","1","32","5","2",40,"2","0","0","1",1479903.33333333,18.5667847275731,1681,1745745.35307281,-85938.6864061435,1745745.35307283,18.1047201291619,"1",14.3222116876866,1372423.46046176,1,0.309068131128822,0.555904596926553,11,13,25,23,529,0
"29","4514361","3",288.196672672141,826883.666666667,"1","11","5","6",24,31,"0","2","1","0","1","97","4","2",48,"1","0","0","1",826342,17.4335298959091,961,1464361.83519378,-637478.168527114,1464361.83519379,17.9261171218268,"1",13.625419295026,1681066.9479419,1,-0.267560818711076,0.577307372582952,11,13,15,13,169,0
"30","4514361","9",288.196672672141,825800.333333333,"1","8","4","5",156,36,"1","2","1","0","1","98","4","2",48,"1","0","0","0",826342,17.4314235001143,1296,1622754.64846103,-796954.315127695,1622754.64846104,18.0423001624256,"0",13.624108296083,1122233.55965015,0,-0.332052350976714,-0.402198812083773,10,9,21,22,484,0
"31","4514363","1",234.707409371681,910333.416666667,"1","11","5","6",108,50,"0","2","1","0","1","55","5","2",48,"1","0","0","1",910333.416666667,17.5882724281792,2500,1877915.30756226,-967581.890895598,1877915.30756228,18.0815931231535,"1",13.7215662033293,1241601.20812219,1,-0.34488663813972,0.575931495411248,11,13,34,32,1024,0
"32","4514364","2",330.763285242449,1087000,"1","11","5","6",12,42,"0","2","1","0","1","54","1","2",48,"3","0","1","1",1124333.33333333,17.8750942634182,1764,1766095.24095652,-679095.240956515,1766095.24095653,18.1107525536456,"1",13.8989321661033,1658440.01554508,1,-0.0783783024422283,0.546051596515468,11,13,26,24,576,0
"33","4514364","1",330.763285242449,1500000,"1","5","3","4",70,45,"1","2","1","0","1","98","3","2",45,"1","0","0","0",1124333.33333333,18.4004244125722,2025,1818648.39853031,-318648.39853031,1818648.39853032,18.1159466893698,"0",14.2209756660724,2037765.77586348,0,0.303109829036621,-0.402629460505656,5,5,35,35,1225,0
"34","4514364","3",330.763285242449,786000,"1","2","6","7",4,20,"1","2","1","0","1","95","5","2",60,"1","0","0","0",1124333.33333333,17.3521280571181,400,991282.223538613,-205282.223538613,991282.223538622,17.4812684125132,"0",13.5747120714113,2020116.24720671,0,-0.375414782634991,-0.442214203597897,15,19,0,0,0,0
